procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  74780 63720492   6960 633996    0    0     0     0 1069   62  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     0 1127   66  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     4 1170  164  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     0 1122   64  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     0 1071   62  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     0 1143   78  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     0 1170  160  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     0 1123   66  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     4 1095   68  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     0 1121   64  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     0 1165  160  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     0 1124   64  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     0 1070   62  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     0 1124   66  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     4 1170  164  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     0 1147   78  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0    18 1087   80  2  0 98  0  0
 1  0  74780 63720476   6960 633996    0    0     0     0 1122   70  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     0 1190  162  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     0 1122   66  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     4 1077   68  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     0 1138   76  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     0 1177  160  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     0 1129   66  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     0 1068   62  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     0 1148   80  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     8 1170  164  2  0 98  0  0
 1  0  74780 63720460   6960 633996    0    0     0     0 1124   64  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1089   64  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1123   66  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1166  158  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1125   66  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     4 1075   66  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1123   66  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1165  158  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1146   76  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1072   62  2  0 98  0  0
 1  0  74780 63720444   6960 633996    0    0     0     0 1126   68  2  0 98  0  0
 2  0  74780 63720428   6960 633996    0    0     0     4 1187  164  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     0 1126   66  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     0 1073   62  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     0 1126   66  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     0 1165  158  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     0 1127   66  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     4 1074   66  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     0 1145   78  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     7 1187  178  2  0 98  0  0
 1  0  74780 63720428   6960 633996    0    0     0     0 1126   68  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     0 1095   66  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     0 1123   68  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     4 1178  168  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     0 1123   64  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     0 1073   62  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     0 1123   66  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     0 1165  158  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     0 1146   76  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     4 1073   66  2  0 98  0  0
 1  0  74780 63720412   6960 633996    0    0     0     0 1142   84  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1177  162  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1125   64  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1073   64  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1125   68  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     4 1178  162  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1132   64  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1076   64  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1148   76  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1167  158  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1130   66  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     4 1076   68  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1125   66  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1165  158  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1127   66  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1070   62  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1126   68  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     8 1174  166  2  0 98  0  0
 1  0  74780 63720404   6960 633996    0    0     0     0 1141   74  2  0 98  0  0
